prompt_id,category,difficulty,persona,difficulty_rationale,category_rationale
P000047,scenario_analysis,2,Macro Analyst,,
P000048,scenario_analysis,2,Spot Trader,,
P000049,pnl_attribution,5,Portfolio Manager,,
P000050,pnl_attribution,5,Vol RV Trader,,
P000051,historical_query,4,Macro Analyst,,
P000052,historical_query,4,Quant,,
P000053,risk_greeks,2,Risk Manager,,
P000054,risk_greeks,2,Options Trader,,
P000055,carry_roll_analysis,4,Macro Analyst,,
P000056,carry_roll_analysis,4,Portfolio Manager,,
P000057,vol_surface_analysis,3,Vol RV Trader,,
P000058,vol_surface_analysis,3,Macro Analyst,,
P000059,relative_value,5,Macro Analyst,,
P000060,relative_value,5,Research Analyst,,
P000061,trade_discovery,3,Macro Analyst,,
P000062,trade_discovery,3,RV Trader,,
P000063,backtesting,5,Portfolio Manager,,
P000064,backtesting,5,Vol RV Trader,,
P000065,event_risk_calendar,4,Portfolio Manager,,
P000066,event_risk_calendar,4,Spot Trader,,
P000067,data_quality_reconciliation,3,Quant,,
P000068,data_quality_reconciliation,3,Vol RV Trader,,
P000069,portfolio_analytics,1,Portfolio Manager,,
P000070,portfolio_analytics,1,Risk Manager,,
P000071,carry_roll_analysis,3,Macro Analyst,,
P000072,carry_roll_analysis,3,Portfolio Manager,,
P000073,hedging,1,Options Trader,,
P000074,hedging,1,Risk Manager,,
P000075,hedging,5,Risk Manager,,
P000076,hedging,5,Macro Analyst,,
P000077,hedging,3,Portfolio Manager,,
P000078,hedging,3,Options Trader,,
P000079,ops_workflow_query,4,Risk Manager,,
P000080,ops_workflow_query,4,Operations Manager,,
P000081,pnl_attribution,1,Spot Trader,,
P000082,pnl_attribution,1,Macro Analyst,,
P000083,basis_cross_currency,5,Macro Analyst,,
P000084,basis_cross_currency,5,RV Trader,,
P000085,pricing,3,Macro Analyst,,
P000086,pricing,3,Options Trader,,
P000087,trade_discovery,2,Spot Trader,,
P000088,trade_discovery,2,Macro Analyst,,
P000089,risk_greeks,4,Risk Manager,,
P000090,risk_greeks,4,Options Trader,,
P000091,trade_discovery,5,Portfolio Manager,,
P000092,trade_discovery,5,RV Trader,,
P000093,backtesting,1,Research Analyst,,
P000094,backtesting,1,Portfolio Manager,,
P000095,historical_pricing,4,Macro Analyst,,
P000096,historical_pricing,4,FX Trader,,
P000097,event_risk_calendar,5,Risk Manager,,
P000098,event_risk_calendar,5,Macro Analyst,,
P000099,historical_query,1,Research Analyst,,
P000100,historical_query,1,Macro Analyst,,
P000101,risk_greeks,5,Risk Manager,,
P000102,risk_greeks,5,Vol RV Trader,,
P000103,historical_query,3,Macro Analyst,,
P000104,historical_query,3,Research Analyst,,
P000105,vol_surface_analysis,5,Macro Analyst,,
P000106,vol_surface_analysis,5,Quant,,
P000107,basis_cross_currency,1,Spot Trader,,
P000108,basis_cross_currency,1,Research Analyst,,
P000109,hedging,2,Portfolio Manager,,
P000110,hedging,2,Spot Trader,,
P000111,market_query,3,Macro Analyst,,
P000112,market_query,3,Research Analyst,,
P000113,portfolio_analytics,2,Portfolio Manager,,
P000114,portfolio_analytics,2,Research Analyst,,
P000115,historical_pricing,2,Macro Analyst,,
P000116,historical_pricing,2,Research Analyst,,
P000117,trade_discovery,4,Macro Analyst,,
P000118,trade_discovery,4,Portfolio Manager,,
P000119,carry_roll_analysis,2,Macro Analyst,,
P000120,carry_roll_analysis,2,Research Analyst,,
P000121,ops_workflow_query,5,Macro Analyst,,
P000122,ops_workflow_query,5,Risk Manager,,
P000123,risk_greeks,3,Risk Manager,,
P000124,risk_greeks,3,Options Trader,,
P000125,historical_query,2,Macro Analyst,,
P000126,historical_query,2,Research Analyst,,
P000127,hedging,4,Risk Manager,,
P000128,hedging,4,Macro Analyst,,
P000129,basis_cross_currency,3,Macro Analyst,,
P000130,basis_cross_currency,3,Quant,,
P000131,data_quality_reconciliation,1,Spot Trader,,
P000132,data_quality_reconciliation,1,Portfolio Manager,,
P000133,liquidity_transaction_cost,1,Spot Trader,,
P000134,liquidity_transaction_cost,1,Portfolio Manager,,
P000135,data_quality_reconciliation,2,Risk Manager,,
P000136,data_quality_reconciliation,2,Spot Trader,,
P000137,historical_pricing,5,Portfolio Manager,,
P000138,historical_pricing,5,Macro Analyst,,
P000139,liquidity_transaction_cost,5,Macro Analyst,,
P000140,liquidity_transaction_cost,5,Risk Manager,,
P000141,backtesting,4,Portfolio Manager,,
P000142,backtesting,4,Options Trader,,
P000143,rates_fx_linked_analysis,1,Portfolio Manager,,
P000144,rates_fx_linked_analysis,1,Spot Trader,,
P000145,risk_greeks,1,Options Trader,,
P000146,risk_greeks,1,Risk Manager,,
P000147,market_query,1,Macro Analyst,,
P000148,market_query,1,Spot Trader,,
P000149,ops_workflow_query,1,Spot Trader,,
P000150,ops_workflow_query,1,Risk Manager,,
P000151,rates_fx_linked_analysis,2,Spot Trader,,
P000152,rates_fx_linked_analysis,2,Macro Analyst,,
P000153,pnl_attribution,3,Portfolio Manager,,
P000154,pnl_attribution,3,Options Trader,,
P000155,data_quality_reconciliation,4,Risk Manager,,
P000156,data_quality_reconciliation,4,Options Trader,,
P000157,portfolio_analytics,4,Portfolio Manager,,
P000158,portfolio_analytics,4,Risk Manager,,
P000159,rates_fx_linked_analysis,4,Macro Analyst,,
P000160,rates_fx_linked_analysis,4,Quant,,
P000161,scenario_analysis,1,Macro Analyst,,
P000162,scenario_analysis,1,Spot Trader,,
P000163,liquidity_transaction_cost,2,Spot Trader,,
P000164,liquidity_transaction_cost,2,Futures Trader,,
P000165,basis_cross_currency,4,Macro Analyst,,
P000166,basis_cross_currency,4,Research Analyst,,
P000167,event_risk_calendar,3,Macro Analyst,,
P000168,event_risk_calendar,3,Event Trader,,
P000169,carry_roll_analysis,5,Portfolio Manager,,
P000170,carry_roll_analysis,5,Macro Analyst,,
P000171,scenario_analysis,5,Portfolio Manager,,
P000172,scenario_analysis,5,Risk Manager,,
P000173,scenario_analysis,3,Macro Analyst,,
P000174,scenario_analysis,3,Portfolio Manager,,
P000175,rates_fx_linked_analysis,3,Macro Analyst,,
P000176,rates_fx_linked_analysis,3,RV Trader,,
P000177,ops_workflow_query,3,Macro Analyst,,
P000178,ops_workflow_query,3,Risk Manager,,
P000179,market_query,5,Portfolio Manager,,
P000180,market_query,5,Risk Manager,,
P000181,portfolio_analytics,5,Risk Manager,,
P000182,portfolio_analytics,5,Portfolio Manager,,
P000183,event_risk_calendar,1,Macro Analyst,,
P000184,event_risk_calendar,1,Portfolio Manager,,
P000185,pricing,2,Options Trader,,
P000186,pricing,2,Research Analyst,,
P000187,execution_microstructure,5,Quant,,
P000188,execution_microstructure,5,Portfolio Manager,,
P000189,basis_cross_currency,2,RV Trader,,
P000190,basis_cross_currency,2,Macro Analyst,,
P000191,pricing,4,Vol RV Trader,,
P000192,ops_workflow_query,2,Operations Manager,,
P000193,historical_pricing,3,Macro Analyst,,
P000194,scenario_analysis,4,Macro Analyst,,
P000195,vol_surface_analysis,2,Vol RV Trader,,
P000196,trade_discovery,1,Macro Analyst,,
P000197,rates_fx_linked_analysis,5,Portfolio Manager,,
P000198,market_query,4,Macro Analyst,,
P000199,pricing,5,Portfolio Manager,,
P000200,relative_value,2,Relative Value Trader,,
P000201,Machine Learning/AI Analysis,1,Research Analyst,,
P000202,Machine Learning/AI Analysis,1,Spot Trader,,
P000203,Machine Learning/AI Analysis,1,Macro Analyst,,
P000204,Machine Learning/AI Analysis,1,Portfolio Manager,,
P000205,Machine Learning/AI Analysis,2,Quant,,
P000206,Machine Learning/AI Analysis,2,Vol RV Trader,,
P000207,Machine Learning/AI Analysis,2,Research Analyst,,
P000208,Machine Learning/AI Analysis,2,Spot Trader,,
P000209,Machine Learning/AI Analysis,3,Vol RV Trader,,
P000210,Machine Learning/AI Analysis,3,Macro Analyst,,
P000211,Machine Learning/AI Analysis,3,Research Analyst,,
P000212,Machine Learning/AI Analysis,3,Options Trader,,
P000213,Machine Learning/AI Analysis,4,Quant,,
P000214,Machine Learning/AI Analysis,4,Portfolio Manager,,
P000215,Machine Learning/AI Analysis,4,Risk Manager,,
P000216,Machine Learning/AI Analysis,4,Macro Analyst,,
P000217,Machine Learning/AI Analysis,5,Portfolio Manager,,
P000218,Machine Learning/AI Analysis,5,Macro Analyst,,
P000219,Machine Learning/AI Analysis,5,RV Trader,,
P000220,Machine Learning/AI Analysis,5,Quant,,
P000221,backtesting,1,Research Analyst,,
P000222,backtesting,1,Macro Analyst,,
P000223,backtesting,1,Quant,,
P000224,backtesting,1,Portfolio Manager,,
P000225,backtesting,2,Spot Trader,,
P000226,backtesting,2,Options Trader,,
P000227,backtesting,2,RV Trader,,
P000228,backtesting,2,Macro Analyst,,
P000229,backtesting,3,Portfolio Manager,,
P000230,backtesting,3,Risk Manager,,
P000231,backtesting,3,RV Trader,,
P000232,backtesting,3,Quant,,
P000233,backtesting,4,Portfolio Manager,,
P000234,backtesting,4,FX Trader,,
P000235,backtesting,4,Risk Manager,,
P000236,backtesting,4,Quant,,
P000237,backtesting,5,Macro Analyst,,
P000238,backtesting,5,Quant,,
P000239,backtesting,5,Risk Manager,,
P000240,backtesting,5,Options Trader,,
P000241,basis_cross_currency,1,Spot Trader,,
P000242,basis_cross_currency,1,Research Analyst,,
P000243,basis_cross_currency,1,Macro Analyst,,
P000244,basis_cross_currency,1,Portfolio Manager,,
P000245,basis_cross_currency,2,Macro Analyst,,
P000246,basis_cross_currency,2,Risk Manager,,
P000247,basis_cross_currency,2,Research Analyst,,
P000248,basis_cross_currency,2,Quant,,
P000249,basis_cross_currency,3,Macro Analyst,,
P000250,basis_cross_currency,3,Research Analyst,,
P000251,basis_cross_currency,3,RV Trader,,
P000252,basis_cross_currency,3,Risk Manager,,
P000253,basis_cross_currency,4,Risk Manager,,
P000254,basis_cross_currency,4,Macro Analyst,,
P000255,basis_cross_currency,4,Research Analyst,,
P000256,basis_cross_currency,4,Quant,,
P000257,basis_cross_currency,5,Macro Analyst,,
P000258,basis_cross_currency,5,Risk Manager,,
P000259,basis_cross_currency,5,Research Analyst,,
P000260,basis_cross_currency,5,Portfolio Manager,,
P000261,carry_roll_analysis,1,Spot Trader,,
P000262,carry_roll_analysis,1,Commodity Trader,,
P000263,carry_roll_analysis,1,Macro Analyst,,
P000264,carry_roll_analysis,1,Fixed Income Trader,,
P000265,carry_roll_analysis,2,Research Analyst,,
P000266,carry_roll_analysis,2,Spot Trader,,
P000267,carry_roll_analysis,2,Portfolio Manager,,
P000268,carry_roll_analysis,2,Macro Analyst,,
P000269,carry_roll_analysis,3,Portfolio Manager,,
P000270,carry_roll_analysis,3,Macro Analyst,,
P000271,carry_roll_analysis,3,Spot Trader,,
P000272,carry_roll_analysis,3,Research Analyst,,
P000273,carry_roll_analysis,4,Macro Analyst,,
P000274,carry_roll_analysis,4,Portfolio Manager,,
P000275,carry_roll_analysis,4,Commodities Trader,,
P000276,carry_roll_analysis,4,Quant,,
P000277,carry_roll_analysis,5,Macro Analyst,,
P000278,carry_roll_analysis,5,Portfolio Manager,,
P000279,carry_roll_analysis,5,Quant,,
P000280,carry_roll_analysis,5,Research Analyst,,
P000281,data_quality_reconciliation,1,Macro Analyst,,
P000282,data_quality_reconciliation,1,Risk Manager,,
P000283,data_quality_reconciliation,1,Research Analyst,,
P000284,data_quality_reconciliation,1,Spot Trader,,
P000285,data_quality_reconciliation,2,Risk Manager,,
P000286,data_quality_reconciliation,2,Research Analyst,,
P000287,data_quality_reconciliation,2,Quant,,
P000288,data_quality_reconciliation,2,Risk Manager,,
P000289,data_quality_reconciliation,3,Research Analyst,,
P000290,data_quality_reconciliation,3,Spot Trader,,
P000291,data_quality_reconciliation,3,Risk Manager,,
P000292,data_quality_reconciliation,3,Vol RV Trader,,
P000293,data_quality_reconciliation,4,Spot Trader,,
P000294,data_quality_reconciliation,4,Options Trader,,
P000295,data_quality_reconciliation,4,Risk Manager,,
P000296,data_quality_reconciliation,4,Macro Analyst,,
P000297,data_quality_reconciliation,5,Research Analyst,,
P000298,data_quality_reconciliation,5,Risk Manager,,
P000299,data_quality_reconciliation,5,Quant,,
P000300,data_quality_reconciliation,5,Macro Analyst,,
P000301,event_risk_calendar,1,Macro Analyst,,
P000302,event_risk_calendar,1,Portfolio Manager,,
P000303,event_risk_calendar,1,Research Analyst,,
P000304,event_risk_calendar,1,Macro Analyst,,
P000305,event_risk_calendar,2,Macro Analyst,,
P000306,event_risk_calendar,2,Portfolio Manager,,
P000307,event_risk_calendar,2,Spot Trader,,
P000308,event_risk_calendar,2,Research Analyst,,
P000309,event_risk_calendar,3,Options Trader,,
P000310,event_risk_calendar,3,Macro Analyst,,
P000311,event_risk_calendar,3,Research Analyst,,
P000312,event_risk_calendar,3,Risk Manager,,
P000313,event_risk_calendar,4,Risk Manager,,
P000314,event_risk_calendar,4,Macro Analyst,,
P000315,event_risk_calendar,4,Research Analyst,,
P000316,event_risk_calendar,4,Portfolio Manager,,
P000317,event_risk_calendar,5,Macro Analyst,,
P000318,event_risk_calendar,5,Portfolio Manager,,
P000319,event_risk_calendar,5,Risk Manager,,
P000320,event_risk_calendar,5,Quant,,
P000321,execution_microstructure,1,Spot Trader,,
P000322,execution_microstructure,1,Portfolio Manager,,
P000323,execution_microstructure,1,Quant,,
P000324,execution_microstructure,1,Research Analyst,,
P000325,execution_microstructure,2,Execution Trader,,
P000326,execution_microstructure,2,Spot Trader,,
P000327,execution_microstructure,2,Risk Manager,,
P000328,execution_microstructure,2,Quant,,
P000329,execution_microstructure,3,Portfolio Manager,,
P000330,execution_microstructure,3,Quant,,
P000331,execution_microstructure,3,Scalper,,
P000332,execution_microstructure,3,Risk Manager,,
P000333,execution_microstructure,4,Quant,,
P000334,execution_microstructure,4,Research Analyst,,
P000335,execution_microstructure,4,Spot Trader,,
P000336,execution_microstructure,4,Risk Manager,,
P000337,execution_microstructure,5,Quant,,
P000338,execution_microstructure,5,Research Analyst,,
P000339,execution_microstructure,5,Macro Analyst,,
P000340,execution_microstructure,5,Portfolio Manager,,
P000341,hedging,1,Spot Trader,,
P000342,hedging,1,Risk Manager,,
P000343,hedging,1,Portfolio Manager,,
P000344,hedging,1,Options Trader,,
P000345,hedging,2,Options Trader,,
P000346,hedging,2,Macro Analyst,,
P000347,hedging,2,Portfolio Manager,,
P000348,hedging,2,Vol RV Trader,,
P000349,hedging,3,Portfolio Manager,,
P000350,hedging,3,Risk Manager,,
P000351,hedging,3,Macro Analyst,,
P000352,hedging,3,Quant,,
P000353,hedging,4,Portfolio Manager,,
P000354,hedging,4,Risk Manager,,
P000355,hedging,4,Quant,,
P000356,hedging,4,Macro Analyst,,
P000357,hedging,5,Portfolio Manager,,
P000358,hedging,5,Options Trader,,
P000359,hedging,5,Risk Manager,,
P000360,hedging,5,Macro Analyst,,
P000361,historical_pricing,1,Research Analyst,,
P000362,historical_pricing,1,Macro Analyst,,
P000363,historical_pricing,1,Spot Trader,,
P000364,historical_pricing,1,Quant,,
P000365,historical_pricing,2,Research Analyst,,
P000366,historical_pricing,2,Macro Analyst,,
P000367,historical_pricing,2,Spot Trader,,
P000368,historical_pricing,2,Quant,,
P000369,historical_pricing,3,Macro Analyst,,
P000370,historical_pricing,3,Risk Manager,,
P000371,historical_pricing,3,Research Analyst,,
P000372,historical_pricing,3,Spot Trader,,
P000373,historical_pricing,4,Risk Manager,,
P000374,historical_pricing,4,Quant,,
P000375,historical_pricing,4,Commodities Trader,,
P000376,historical_pricing,4,Macro Analyst,,
P000377,historical_pricing,5,Portfolio Manager,,
P000378,historical_pricing,5,Macro Analyst,,
P000379,historical_pricing,5,Research Analyst,,
P000380,historical_pricing,5,Risk Manager,,
P000381,historical_query,1,Research Analyst,,
P000382,historical_query,1,Spot Trader,,
P000383,historical_query,1,Macro Analyst,,
P000384,historical_query,1,Options Trader,,
P000385,historical_query,2,Macro Analyst,,
P000386,historical_query,2,Vol RV Trader,,
P000387,historical_query,2,Commodity Trader,,
P000388,historical_query,2,Spot Trader,,
P000389,historical_query,3,Macro Analyst,,
P000390,historical_query,3,Research Analyst,,
P000391,historical_query,3,Risk Manager,,
P000392,historical_query,3,Portfolio Manager,,
P000393,historical_query,4,Vol RV Trader,,
P000394,historical_query,4,Risk Manager,,
P000395,historical_query,4,Macro Analyst,,
P000396,historical_query,4,Research Analyst,,
P000397,historical_query,5,Risk Manager,,
P000398,historical_query,5,Macro Analyst,,
P000399,historical_query,5,Quant,,
P000400,historical_query,5,Spot Trader,,
P000401,liquidity_transaction_cost,1,Spot Trader,,
P000402,liquidity_transaction_cost,1,Portfolio Manager,,
P000403,liquidity_transaction_cost,1,Options Trader,,
P000404,liquidity_transaction_cost,1,Macro Analyst,,
P000405,liquidity_transaction_cost,2,Spot Trader,,
P000406,liquidity_transaction_cost,2,Portfolio Manager,,
P000407,liquidity_transaction_cost,2,Macro Analyst,,
P000408,liquidity_transaction_cost,2,Risk Manager,,
P000409,liquidity_transaction_cost,3,Portfolio Manager,,
P000410,liquidity_transaction_cost,3,Macro Analyst,,
P000411,liquidity_transaction_cost,3,Options Trader,,
P000412,liquidity_transaction_cost,3,Risk Manager,,
P000413,liquidity_transaction_cost,4,Portfolio Manager,,
P000414,liquidity_transaction_cost,4,Quant,,
P000415,liquidity_transaction_cost,4,Risk Manager,,
P000416,liquidity_transaction_cost,4,Macro Analyst,,
P000417,liquidity_transaction_cost,5,Portfolio Manager,,
P000418,liquidity_transaction_cost,5,Quant,,
P000419,liquidity_transaction_cost,5,Macro Analyst,,
P000420,liquidity_transaction_cost,5,Risk Manager,,
P000421,market_query,1,Spot Trader,,
P000422,market_query,1,Macro Analyst,,
P000423,market_query,1,Portfolio Manager,,
P000424,market_query,1,FX Trader,,
P000425,market_query,2,Macro Analyst,,
P000426,market_query,2,Fixed Income Trader,,
P000427,market_query,2,Spot Trader,,
P000428,market_query,2,Research Analyst,,
P000429,market_query,3,Macro Analyst,,
P000430,market_query,3,Research Analyst,,
P000431,market_query,3,Quant,,
P000432,market_query,3,Portfolio Manager,,
P000433,market_query,4,Macro Analyst,,
P000434,market_query,4,Portfolio Manager,,
P000435,market_query,4,Quant,,
P000436,market_query,4,Risk Manager,,
P000437,market_query,5,Portfolio Manager,,
P000438,market_query,5,Macro Analyst,,
P000439,market_query,5,Risk Manager,,
P000440,market_query,5,Quant,,
P000441,ops_workflow_query,1,Spot Trader,,
P000442,ops_workflow_query,1,Research Analyst,,
P000443,ops_workflow_query,1,Macro Analyst,,
P000444,ops_workflow_query,1,Options Trader,,
P000445,ops_workflow_query,2,Risk Manager,,
P000446,ops_workflow_query,2,Macro Analyst,,
P000447,ops_workflow_query,2,Quant,,
P000448,ops_workflow_query,2,Portfolio Manager,,
P000449,ops_workflow_query,3,Macro Analyst,,
P000450,ops_workflow_query,3,Risk Manager,,
P000451,ops_workflow_query,3,Quant,,
P000452,ops_workflow_query,3,Vol RV Trader,,
P000453,ops_workflow_query,4,Macro Analyst,,
P000454,ops_workflow_query,4,Risk Manager,,
P000455,ops_workflow_query,4,Portfolio Manager,,
P000456,ops_workflow_query,4,Spot Trader,,
P000457,ops_workflow_query,5,Research Analyst,,
P000458,ops_workflow_query,5,Risk Manager,,
P000459,ops_workflow_query,5,Macro Analyst,,
P000460,ops_workflow_query,5,Quant,,
P000461,pnl_attribution,1,Portfolio Manager,,
P000462,pnl_attribution,1,Spot Trader,,
P000463,pnl_attribution,1,Risk Manager,,
P000464,pnl_attribution,1,Options Trader,,
P000465,pnl_attribution,2,Portfolio Manager,,
P000466,pnl_attribution,2,Spot Trader,,
P000467,pnl_attribution,2,Quant,,
P000468,pnl_attribution,2,Risk Manager,,
P000469,pnl_attribution,3,Portfolio Manager,,
P000470,pnl_attribution,3,Spot Trader,,
P000471,pnl_attribution,3,Vol RV Trader,,
P000472,pnl_attribution,3,Research Analyst,,
P000473,pnl_attribution,4,Risk Manager,,
P000474,pnl_attribution,4,Options Trader,,
P000475,pnl_attribution,4,Macro Analyst,,
P000476,pnl_attribution,4,Portfolio Manager,,
P000477,pnl_attribution,5,Risk Manager,,
P000478,pnl_attribution,5,Macro Analyst,,
P000479,pnl_attribution,5,Options Trader,,
P000480,pnl_attribution,5,Portfolio Manager,,
P000481,portfolio_analytics,1,Portfolio Manager,,
P000482,portfolio_analytics,1,Risk Manager,,
P000483,portfolio_analytics,1,Research Analyst,,
P000484,portfolio_analytics,1,Quant,,
P000485,portfolio_analytics,2,Portfolio Manager,,
P000486,portfolio_analytics,2,Research Analyst,,
P000487,portfolio_analytics,2,Risk Manager,,
P000488,portfolio_analytics,2,Quant,,
P000489,portfolio_analytics,3,Portfolio Manager,,
P000490,portfolio_analytics,3,Risk Manager,,
P000491,portfolio_analytics,3,Quant,,
P000492,portfolio_analytics,3,Macro Analyst,,
P000493,portfolio_analytics,4,Portfolio Manager,,
P000494,portfolio_analytics,4,Macro Analyst,,
P000495,portfolio_analytics,4,Risk Manager,,
P000496,portfolio_analytics,4,Quant,,
P000497,portfolio_analytics,5,Portfolio Manager,,
P000498,portfolio_analytics,5,Risk Manager,,
P000499,portfolio_analytics,5,Research Analyst,,
P000500,portfolio_analytics,5,Quant,,
P000501,pricing,1,Spot Trader,,
P000502,pricing,1,Options Trader,,
P000503,pricing,1,Fixed Income Analyst,,
P000504,pricing,1,FX Trader,,
P000505,pricing,2,Spot Trader,,
P000506,pricing,2,Options Trader,,
P000507,pricing,2,Macro Analyst,,
P000508,pricing,2,Research Analyst,,
P000509,pricing,3,Macro Analyst,,
P000510,pricing,3,Quant,,
P000511,pricing,3,Risk Manager,,
P000512,pricing,3,Vol RV Trader,,
P000513,pricing,4,Research Analyst,,
P000514,pricing,4,Risk Manager,,
P000515,pricing,4,Options Trader,,
P000516,pricing,4,Macro Analyst,,
P000517,pricing,5,Portfolio Manager,,
P000518,pricing,5,Quant,,
P000519,pricing,5,Options Trader,,
P000520,pricing,5,Risk Manager,,
P000521,rates_fx_linked_analysis,1,Macro Analyst,,
P000522,rates_fx_linked_analysis,1,Spot Trader,,
P000523,rates_fx_linked_analysis,1,Research Analyst,,
P000524,rates_fx_linked_analysis,1,Options Trader,,
P000525,rates_fx_linked_analysis,2,Macro Analyst,,
P000526,rates_fx_linked_analysis,2,Quant,,
P000527,rates_fx_linked_analysis,2,Research Analyst,,
P000528,rates_fx_linked_analysis,2,Spot Trader,,
P000529,rates_fx_linked_analysis,3,Macro Analyst,,
P000530,rates_fx_linked_analysis,3,Risk Manager,,
P000531,rates_fx_linked_analysis,3,Research Analyst,,
P000532,rates_fx_linked_analysis,3,RV Trader,,
P000533,rates_fx_linked_analysis,4,Macro Analyst,,
P000534,rates_fx_linked_analysis,4,Research Analyst,,
P000535,rates_fx_linked_analysis,4,Portfolio Manager,,
P000536,rates_fx_linked_analysis,4,Risk Manager,,
P000537,rates_fx_linked_analysis,5,Macro Analyst,,
P000538,rates_fx_linked_analysis,5,Quant,,
P000539,rates_fx_linked_analysis,5,Portfolio Manager,,
P000540,rates_fx_linked_analysis,5,Research Analyst,,
P000541,relative_value,1,Macro Analyst,,
P000542,relative_value,1,Commodity Trader,,
P000543,relative_value,1,RV Trader,,
P000544,relative_value,1,Research Analyst,,
P000545,relative_value,2,Macro Analyst,,
P000546,relative_value,2,Quant,,
P000547,relative_value,2,Portfolio Manager,,
P000548,relative_value,2,Research Analyst,,
P000549,relative_value,3,RV Trader,,
P000550,relative_value,3,Commodity Trader,,
P000551,relative_value,3,Macro Analyst,,
P000552,relative_value,3,Vol RV Trader,,
P000553,relative_value,4,Relative Value Trader,,
P000554,relative_value,4,Macro Analyst,,
P000555,relative_value,4,Research Analyst,,
P000556,relative_value,4,Portfolio Manager,,
P000557,relative_value,5,Macro Analyst,,
P000558,relative_value,5,Quant,,
P000559,relative_value,5,Research Analyst,,
P000560,relative_value,5,Risk Manager,,
P000561,risk_greeks,1,Options Trader,,
P000562,risk_greeks,1,Risk Manager,,
P000563,risk_greeks,1,Quant,,
P000564,risk_greeks,1,Portfolio Manager,,
P000565,risk_greeks,2,Options Trader,,
P000566,risk_greeks,2,Macro Analyst,,
P000567,risk_greeks,2,Quant,,
P000568,risk_greeks,2,Risk Manager,,
P000569,risk_greeks,3,Vol RV Trader,,
P000570,risk_greeks,3,Macro Analyst,,
P000571,risk_greeks,3,Options Trader,,
P000572,risk_greeks,3,Risk Manager,,
P000573,risk_greeks,4,Options Trader,,
P000574,risk_greeks,4,FX Trader,,
P000575,risk_greeks,4,Portfolio Manager,,
P000576,risk_greeks,4,Risk Manager,,
P000577,risk_greeks,5,Risk Manager,,
P000578,risk_greeks,5,Quant,,
P000579,risk_greeks,5,Research Analyst,,
P000580,risk_greeks,5,Macro Analyst,,
P000581,scenario_analysis,1,Macro Analyst,,
P000582,scenario_analysis,1,Spot Trader,,
P000583,scenario_analysis,1,Risk Manager,,
P000584,scenario_analysis,1,Options Trader,,
P000585,scenario_analysis,2,Macro Analyst,,
P000586,scenario_analysis,2,Research Analyst,,
P000587,scenario_analysis,2,Macro Analyst,,
P000588,scenario_analysis,2,Risk Manager,,
P000589,scenario_analysis,3,Macro Analyst,,
P000590,scenario_analysis,3,Research Analyst,,
P000591,scenario_analysis,3,Portfolio Manager,,
P000592,scenario_analysis,3,Quant,,
P000593,scenario_analysis,4,Macro Analyst,,
P000594,scenario_analysis,4,Research Analyst,,
P000595,scenario_analysis,4,Quant,,
P000596,scenario_analysis,4,RV Trader,,
P000597,scenario_analysis,5,Macro Analyst,,
P000598,scenario_analysis,5,Research Analyst,,
P000599,scenario_analysis,5,Portfolio Manager,,
